,provlem name→,saitaku,ho ho ho,kura,Yokohama,spacious,VIDEO,BUS,BUS2,3month,tank,nice view,BRIDGE,"happy birthday, yall",whois,SSID,BB,Altai
,point →,200,300,400,500,100,100,200,200,300,300,300,200,200,100,100,200,200
↓rank,solve count →,56,57,0,0,56,64,24,32,32,9,27,11,15,106,39,5,3
1,2800,o,o,,,o,o,o,o,o,o,o,o,o,o,o,o,
2,2600,o,o,,,o,o,o,o,o,o,o,o,o,o,o,,
3,2400,o,o,,,o,o,o,o,o,o,o,,o,o,o,,
4,2400,o,o,,,o,o,,o,o,o,o,,,o,o,o,o
5,2400,o,o,,,o,o,o,o,o,o,o,,o,o,o,,
6,2300,o,o,,,,o,o,o,o,o,o,o,,o,o,,
7,2300,o,o,,,o,o,o,o,o,,o,o,o,o,o,,
8,2300,o,o,,,o,o,o,o,o,,o,o,,o,o,o,
9,2300,o,o,,,o,o,o,o,o,o,o,o,,o,,,
10,1900,o,o,,,o,o,,o,o,,o,,,o,o,o,
11,1900,o,o,,,o,o,,o,o,,o,o,,o,o,,
12,1900,o,o,,,o,o,,o,o,,o,,o,o,o,,
13,1900,o,o,,,o,o,,o,o,,o,,,o,o,,o
14,1800,o,o,,,o,o,o,,o,,,,o,o,o,,o
15,1800,o,o,,,o,o,o,o,o,,o,,,o,,,
16,1700,o,o,,,o,o,o,o,,,o,,o,o,,,
17,1600,o,,,,,o,,o,o,o,o,,,o,o,,
18,1600,,o,,,o,o,o,o,o,,,,,o,o,o,
19,1600,o,o,,,o,o,,,o,,o,,o,o,,,
20,1500,o,o,,,,o,,o,o,,,o,o,,,,
21,1400,o,o,,,o,o,,o,,,o,,,o,o,,
22,1400,o,o,,,o,o,,,o,,o,,,o,,,
23,1300,o,o,,,o,o,,,o,,,,o,o,,,
24,1300,,,,,o,o,o,o,o,,,,o,o,o,,
25,1300,,o,,,o,o,o,,,,o,o,,o,,,
26,1200,o,o,,,o,o,,,,,o,,,o,o,,
27,1200,o,o,,,o,o,,,o,,,,,o,o,,
28,1200,o,o,,,o,o,,,,,o,,,o,o,,
29,1100,o,,,,o,o,,o,,o,,,,o,o,,
30,1100,,o,,,o,o,,o,o,,,,,o,,,
31,1000,,,,,o,o,o,o,o,,,,,o,,,
32,1000,o,,,,,o,o,o,o,,,,,,,,
33,1000,o,o,,,,o,o,,,,,,,o,o,,
34,1000,,o,,,o,o,,,o,,,,,o,o,,
35,900,o,o,,,,o,,,,,,,o,o,,,
36,900,,o,,,o,o,,,,,o,,,o,,,
37,900,o,o,,,o,,,,,,,,o,o,,,
38,900,o,o,,,o,,,o,,,,,,o,,,
39,900,o,,,,,o,o,,o,,,,,o,,,
40,800,o,,,,,o,o,o,,,,,,o,,,
41,800,o,o,,,,,,,o,,,,,,,,
42,800,,o,,,o,o,,,,,,o,,o,,,
43,800,o,o,,,,o,,,,,,,,o,o,,
44,800,o,o,,,o,o,,,,,,,,o,,,
45,800,,o,,,o,o,o,,,,,,,o,,,
46,800,o,o,,,o,,,,,,,,,o,o,,
47,800,,,,,,,,,o,,o,,,o,o,,
48,800,,,,,o,o,,o,,,,o,,o,o,,
49,700,o,o,,,,,,,,,,,,o,o,,
50,700,o,o,,,,,,,,,,,,o,o,,
51,700,,,,,o,,,o,,,o,,,o,,,
52,700,o,o,,,,o,,,,,,,,o,,,
53,700,o,,,,o,o,,o,,,,,,o,,,
54,700,,,,,,o,o,o,,,,,,o,o,,
55,600,o,o,,,,,,,,,,,,o,,,
56,600,,,,,o,o,o,,,,,,,o,o,,
57,600,,,,,o,o,,,o,,,,,o,,,
58,600,o,o,,,,,,,,,,,,o,,,
